房源标题,链接,户型,面积,房屋朝向,装修形式,小区名称,地址,关注度,总价,单价,图片路径
78平小三房采光良好，开发商原装没住过,https://xm.lianjia.com/ershoufang/105115421332.html,3室2厅,77.96平米,南,精装,特房樾琴湾,环东海域,5人关注 / 6个月以前发布,175,"22,448元/平",images\house_1_10.jpg
接地气 全屋定制柜子 宋氏园林 格局不浪费,https://xm.lianjia.com/ershoufang/105116020655.html,4室2厅,94.11平米,南 北,精装,春江天玺,马銮湾中心片区,3人关注 / 3个月以前发布,206,"21,890元/平",images\house_1_11.jpg
翔鹭酒店旁翔鹭花城二期高层两房,https://xm.lianjia.com/ershoufang/105115997706.html,2室1厅,55平米,南,精装,翔鹭花城一，二期,殿前,1人关注 / 3个月以前发布,198,"36,000元/平",images\house_1_12.jpg
中航城三房两卫，业主自住精装，急售,https://xm.lianjia.com/ershoufang/105116702139.html,3室1厅,98.36平米,南,精装,中航城国际社区C区,集美新城,2人关注 / 1个月以前发布,279,"28,366元/平",images\house_1_13.jpg
园南 精装  铁路公园  业主诚意出售,https://xm.lianjia.com/ershoufang/105117014303.html,1室1厅,43.56平米,南 北,精装,育青路,文园路,0人关注 / 13天以前发布,298,"68,412元/平",images\house_1_14.jpg
急售 集美新城 世茂ioi万科里商圈 朝南 两房 自住精装,https://xm.lianjia.com/ershoufang/105113480644.html,2室2厅,88.85平米,东南,精装,莲花尚院,集美新城,3人关注 / 一年前发布,208,"23,411元/平",images\house_1_15.jpg
学*边可拎包  满二*一  一楼有院子有车位套内比产权大,https://xm.lianjia.com/ershoufang/105114799359.html,2室1厅,62.25平米,南 北,精装,嘉庚路,集美文教区,11人关注 / 8个月以前发布,180,"28,916元/平",images\house_1_16.jpg
南通北透，采光好，通风好，阳光充足,https://xm.lianjia.com/ershoufang/105115146545.html,4室2厅,119.54平米,东南,精装,禹洲尊海,海沧体育中心,0人关注 / 7个月以前发布,350,"29,279元/平",images\house_1_17.jpg
英皇湖畔花苑 2室1厅 南,https://xm.lianjia.com/ershoufang/105117004574.html,2室1厅,71.93平米,南,精装,英皇湖畔花苑,松柏,1人关注 / 14天以前发布,448,"62,283元/平",images\house_1_18.jpg
金鸡亭西里框架，采光充足，装修精致，户型方正,https://xm.lianjia.com/ershoufang/105116738757.html,2室1厅,71.66平米,南 北,精装,金鸡亭小区西区,金鸡亭,0人关注 / 1个月以前发布,239,"33,352元/平",images\house_1_19.jpg
门口就双塔，兑山小区电梯精装三房,https://xm.lianjia.com/ershoufang/105116839351.html,3室2厅,114.29平米,南,精装,兑山小区,集美新城,1人关注 / 31天以前发布,160,"14,000元/平",images\house_1_20.jpg
电梯中层，采光通风好楼下地铁口.有钥匙.房东出增值税,https://xm.lianjia.com/ershoufang/105117000108.html,3室2厅,81.66平米,南,毛坯,中铁诺德逸都,同安区,0人关注 / 15天以前发布,145,"17,757元/平",images\house_1_21.jpg
博学园朝南复式楼，四房两厅两卫，小区进岛方便。,https://xm.lianjia.com/ershoufang/105115963788.html,4室2厅,89.31平米,南 北,精装,联合博学园,新店,0人关注 / 4个月以前发布,190,"21,275元/平",images\house_1_22.jpg
近地铁龙湖春江彼岸全新未入住精装三房现买现住,https://xm.lianjia.com/ershoufang/105112673636.html,3室2厅,89平米,南,精装,首开龙湖春江彼岸一期,马銮湾中心片区,0人关注 / 一年前发布,218,"24,495元/平",images\house_1_23.jpg
此房满五 电梯高层，朝南户型，采光好，设施齐全,https://xm.lianjia.com/ershoufang/105115076835.html,2室1厅,50.97平米,南,精装,锦辉国际花园,同安区,1人关注 / 7个月以前发布,75,"14,715元/平",images\house_1_24.jpg
地铁一号线，杏林大桥。精装楼中楼，附加面积大！,https://xm.lianjia.com/ershoufang/105109407597.html,3室2厅,127.25平米,东南,精装,中航城A区,杏锦路,17人关注 / 一年前发布,385,"30,256元/平",images\house_1_25.jpg
精装正规三房 格局方正 南北通透 可拎包入住,https://xm.lianjia.com/ershoufang/105116185966.html,3室2厅,116.08平米,南 北,精装,汇景雅苑,未来海岸北师大,1人关注 / 2个月以前发布,228,"19,642元/平",images\house_1_26.jpg
店长推荐乐海商圈 三面采光 中间楼层 看中庭 视野开阔,https://xm.lianjia.com/ershoufang/105116759528.html,3室2厅,100.99平米,南 北,毛坯,建发中央天悦,同安其它,3人关注 / 1个月以前发布,168,"16,636元/平",images\house_1_27.jpg
产权满2年，精装大3房，高层，采光好，客厅带阳台,https://xm.lianjia.com/ershoufang/105113478082.html,3室1厅,107.34平米,南 北,精装,特房银溪墅府图尔花园,环东海域,0人关注 / 一年前发布,235,"21,894元/平",images\house_1_28.jpg
地铁口四房招商花园旁户型方正南北通透中高层,https://xm.lianjia.com/ershoufang/105113713197.html,4室2厅,129.81平米,南 北,简装,海投第一湾,马銮湾东,3人关注 / 一年前发布,325,"25,037元/平",images\house_1_29.jpg
怡景花园 中间楼层 采光好 诚意出售  价格好谈,https://xm.lianjia.com/ershoufang/105115832618.html,1室0厅,29.25平米,北,精装,怡景花园,湖里大道,6人关注 / 4个月以前发布,99,"33,847元/平",images\house_2_0.jpg
松柏小户型 地铁口 电梯房 带阳台,https://xm.lianjia.com/ershoufang/105116271790.html,1室0厅,33.52平米,北,简装,一代风华,松柏,2人关注 / 2个月以前发布,160,"47,733元/平",images\house_2_1.jpg
隧道口整栋别墅，地面三层，地下一层，看房有钥匙。,https://xm.lianjia.com/ershoufang/105112053182.html,5室3厅,86.74平米,南,毛坯,世茂国风明月,翔安新城,38人关注 / 一年前发布,300,"34,587元/平",images\house_2_2.jpg
此房满五，南北户型，高楼层，视野开阔，采光充足，,https://xm.lianjia.com/ershoufang/105116280176.html,3室2厅,103.3平米,南,毛坯,禹洲香溪里7号地块,同安其它,0人关注 / 2个月以前发布,110,"10,649元/平",images\house_2_3.jpg
集美新城正面看湖看园博苑，不靠马路很安静。,https://xm.lianjia.com/ershoufang/105116715502.html,4室1厅,159.72平米,东南 西 北,精装,中航城A区,杏锦路,1人关注 / 1个月以前发布,550,"34,436元/平",images\house_2_4.jpg
世茂品质 复式户型 可沟通业主包税 二次精高装 高层,https://xm.lianjia.com/ershoufang/105113473018.html,3室2厅,86.12平米,南 北,精装,世茂国风长安,翔安新城,4人关注 / 一年前发布,265,"30,772元/平",images\house_2_5.jpg
精装修大四房，真正精装，拎包入住的，高楼层,https://xm.lianjia.com/ershoufang/105116662191.html,4室2厅,150.52平米,南,精装,天御小区,海沧区政府,2人关注 / 1个月以前发布,405,"26,907元/平",images\house_2_6.jpg
接地气 刚改四房格局 宋氏园林 高人一等,https://xm.lianjia.com/ershoufang/105117078136.html,4室2厅,94.11平米,南 北,精装,春江天玺,马銮湾中心片区,0人关注 / 6天以前发布,208,"22,102元/平",images\house_2_7.jpg
业主诚意出售，南北向，采光充足,https://xm.lianjia.com/ershoufang/105116377618.html,2室1厅,70.91平米,南 北,简装,仙阁里花园,SM,4人关注 / 2个月以前发布,258,"36,385元/平",images\house_2_8.jpg
高层边套，采光好，装修保养不错的，拎包入住,https://xm.lianjia.com/ershoufang/105116194601.html,3室2厅,89.59平米,南,精装,莲花新城二期,集美新城,2人关注 / 2个月以前发布,263,"29,356元/平",images\house_2_9.jpg
翔安隧道口  精装三房 南北通透,https://xm.lianjia.com/ershoufang/105112003804.html,3室2厅,110.12平米,南 北,简装,明发半岛祥湾A区,翔安新城,1人关注 / 一年前发布,188,"17,073元/平",images\house_2_10.jpg
2号线地铁口+南北朝向小3房+业主诚意出售+价格可谈,https://xm.lianjia.com/ershoufang/105116693321.html,3室2厅,65.78平米,南 北,精装,吕岭路,金尚,1人关注 / 1个月以前发布,216,"32,837元/平",images\house_2_11.jpg
建发央著，高楼层采光好，满2年,https://xm.lianjia.com/ershoufang/105116297845.html,3室2厅,104.57平米,南,精装,建发央著二期,集美新城,0人关注 / 2个月以前发布,449,"42,938元/平",images\house_2_12.jpg
源盛花园 3室2厅 南 北,https://xm.lianjia.com/ershoufang/105115027159.html,3室2厅,99.11平米,南 北,简装,源盛花园,松柏,1人关注 / 7个月以前发布,439,"44,295元/平",images\house_2_13.jpg
禹洲花园 免裞 客厅带阳台朝南 边套 全力推荐,https://xm.lianjia.com/ershoufang/105116995236.html,2室2厅,76.83平米,南 北,简装,禹洲花园二期,莲花,6人关注 / 15天以前发布,288,"37,486元/平",images\house_2_14.jpg
槟榔西里，中楼层，接孩子方便！,https://xm.lianjia.com/ershoufang/105116452951.html,2室1厅,52.04平米,南 北,简装,槟榔西里双号区,槟榔,0人关注 / 2个月以前发布,298,"57,264元/平",images\house_2_15.jpg
三期精装三房  位置安静看中庭 近地铁口商场公园,https://xm.lianjia.com/ershoufang/105116670931.html,3室2厅,88.56平米,西南,精装,首开龙湖春江彼岸三期,马銮湾中心片区,0人关注 / 1个月以前发布,220,"24,842元/平",images\house_2_16.jpg
业主诚意出售，低总价入厦刚需，近嘉庚配套齐全,https://xm.lianjia.com/ershoufang/105115189023.html,1室1厅,50.88平米,东南,精装,禹洲大学城,集美其它,12人关注 / 6个月以前发布,82,"16,117元/平",images\house_2_17.jpg
未来橙堡楼梯边套一房朝南无遮挡 采光好,https://xm.lianjia.com/ershoufang/105115224343.html,1室0厅,33.08平米,南,精装,未来橙堡,海沧体育中心,0人关注 / 6个月以前发布,75,"22,673元/平",images\house_2_18.jpg
房子格局好，明厨明卫，南北朝向,https://xm.lianjia.com/ershoufang/105114720778.html,2室1厅,65.49平米,南 北,简装,兴隆新村,大唐世家,5人关注 / 8个月以前发布,200,"30,540元/平",images\house_2_19.jpg
水晶湖郡两梯三户 位置安静 业主自住装修9成新,https://xm.lianjia.com/ershoufang/105116777966.html,3室2厅,119.47平米,西南,精装,水晶湖郡C区,集美新城,2人关注 / 1个月以前发布,446,"37,332元/平",images\house_2_20.jpg
莲花大厦精装三房，拎包入住，设计合理，采光好,https://xm.lianjia.com/ershoufang/105114283268.html,3室2厅,88.29平米,东南 东北,精装,莲花大厦,莲花一村,6人关注 / 10个月以前发布,470,"53,234元/平",images\house_2_21.jpg
隧道口阳光城精装3房，业主诚意出售，,https://xm.lianjia.com/ershoufang/105116907030.html,3室1厅,87.12平米,东南,精装,阳光城翡丽湾二期,翔安新城,2人关注 / 23天以前发布,192,"22,039元/平",images\house_2_22.jpg
建发翔城国际北区 3室2厅 南 北,https://xm.lianjia.com/ershoufang/105115935299.html,3室2厅,89.21平米,南 北,精装,建发翔城国际北区,翔安新城,5人关注 / 4个月以前发布,205,"22,980元/平",images\house_2_23.jpg
视野不错，没有遮挡，业主诚意出售。装修保养好,https://xm.lianjia.com/ershoufang/105116928720.html,2室1厅,67.12平米,南,精装,中航城国际社区C区,集美新城,1人关注 / 21天以前发布,198,"29,500元/平",images\house_2_24.jpg
中航城少有两房，大横厅格局三面采光，看中庭安静,https://xm.lianjia.com/ershoufang/105117063573.html,2室1厅,66.63平米,南 北,精装,中航城国际社区C区,集美新城,0人关注 / 8天以前发布,198,"29,717元/平",images\house_2_25.jpg
高楼层大三房，精装修，采光好。,https://xm.lianjia.com/ershoufang/105116211510.html,3室2厅,124.33平米,东南 西北,精装,未来海岸蓝水郡,海沧体育中心,3人关注 / 2个月以前发布,288,"23,165元/平",images\house_2_26.jpg
禹洲大学城 高层精装两居 朝南 格局方正,https://xm.lianjia.com/ershoufang/105115447669.html,2室2厅,83.13平米,南,精装,禹洲大学城,集美其它,1人关注 / 5个月以前发布,152,"18,285元/平",images\house_2_27.jpg
次新房，17年交房未入住过，随时可看房。,https://xm.lianjia.com/ershoufang/105116852277.html,2室2厅,85.81平米,南,精装,特房银溪墅府梅斯花园,环东海域,0人关注 / 30天以前发布,170,"19,812元/平",images\house_2_28.jpg
院子精装三房 拎包入住 满两年随时看房 业主诚售,https://xm.lianjia.com/ershoufang/105116884289.html,3室1厅,93.14平米,东 南,精装,厦门院子泰禾首玺B区,马銮湾中心片区,0人关注 / 26天以前发布,228,"24,480元/平",images\house_2_29.jpg
江头公园旁  电梯  新楼    中层   朝南,https://xm.lianjia.com/ershoufang/105116850727.html,2室1厅,55.49平米,南,简装,华永天地,江头,2人关注 / 30天以前发布,98,"17,661元/平",images\house_3_0.jpg
建发精装房，小区环境好，物业管理好,https://xm.lianjia.com/ershoufang/105116981900.html,3室2厅,89.63平米,南,精装,建发和玺,马銮湾东,4人关注 / 16天以前发布,299,"33,360元/平",images\house_3_1.jpg
世茂湖滨首府D区 3室2厅 东 南,https://xm.lianjia.com/ershoufang/105116866264.html,3室2厅,103.87平米,东 南,精装,世茂湖滨首府D区,湖边水库,4人关注 / 28天以前发布,520,"50,063元/平",images\house_3_2.jpg
业主诚意出售，楼层佳，采光充足,https://xm.lianjia.com/ershoufang/105117001642.html,3室1厅,81.41平米,南 北 东,精装,仙岳东村,仙岳社区,1人关注 / 14天以前发布,336,"41,273元/平",images\house_3_3.jpg
青春海岸精装3房 南北双阳台中间楼层 有钥匙随时看房,https://xm.lianjia.com/ershoufang/105114377273.html,3室1厅,89.22平米,南 西 北,精装,海投青春海岸,马銮湾中心片区,16人关注 / 9个月以前发布,180,"20,175元/平",images\house_3_4.jpg
岳阳精装三房空间大，有固定车位，不计面积活动室12平,https://xm.lianjia.com/ershoufang/105115356902.html,3室1厅,75.91平米,南 北,精装,岳阳西里,岳阳社区,5人关注 / 6个月以前发布,298,"39,258元/平",images\house_3_5.jpg
湖边花园A区 3室1厅 南 北,https://xm.lianjia.com/ershoufang/105116819617.html,3室1厅,71.81平米,南 北,简装,湖边花园A区,万达广场,4人关注 / 1个月以前发布,297,"41,360元/平",images\house_3_6.jpg
汇景旁 精装 边套 三房 双阳台,https://xm.lianjia.com/ershoufang/105116231809.html,3室2厅,96.97平米,南,精装,首开领翔上郡三期,新店,4人关注 / 2个月以前发布,159,"16,397元/平",images\house_3_7.jpg
侨建花园刚需2房 楼层佳 闹中取静,https://xm.lianjia.com/ershoufang/105115832078.html,2室2厅,67.98平米,南,简装,侨建花园,SM,0人关注 / 4个月以前发布,268,"39,424元/平",images\house_3_8.jpg
中海世茂府 满二 朝南居家精装拎包入住，新房诚意出售,https://xm.lianjia.com/ershoufang/105114035697.html,3室1厅,86.06平米,南,精装,中海世茂府,同安其它,0人关注 / 11个月以前发布,169,"19,638元/平",images\house_3_9.jpg
特房银溪墅府梅斯花园 3室2厅 南,https://xm.lianjia.com/ershoufang/105117076245.html,3室2厅,124.87平米,南,精装,特房银溪墅府梅斯花园,环东海域,1人关注 / 7天以前发布,252,"20,181元/平",images\house_3_10.jpg
绿苑小区一期 1室1厅 东,https://xm.lianjia.com/ershoufang/105116455960.html,1室1厅,53.02平米,东,简装,绿苑小区一期,滨海社区,2人关注 / 2个月以前发布,155,"29,235元/平",images\house_3_11.jpg
水晶湖郡A期 近地铁口 BRT 精装边套三房 满五年,https://xm.lianjia.com/ershoufang/105116903868.html,3室2厅,120.91平米,南 北,精装,水晶湖郡A区,集美新城,0人关注 / 24天以前发布,399,"33,000元/平",images\house_3_12.jpg
禹洲尊海 中高层景观房看湖看海大四房,https://xm.lianjia.com/ershoufang/105117067894.html,4室2厅,116.18平米,东南,简装,禹洲尊海,海沧体育中心,1人关注 / 8天以前发布,380,"32,708元/平",images\house_3_13.jpg
厅带阳台朝南，小区中庭位置，视野宽阔。,https://xm.lianjia.com/ershoufang/105112976079.html,2室1厅,65.79平米,南 北,精装,侨建花园,SM,6人关注 / 一年前发布,248,"37,696元/平",images\house_3_14.jpg
环东海域央企大盘，精装户型3房，户型好，刚交房,https://xm.lianjia.com/ershoufang/105115960377.html,3室2厅,82.4平米,东,精装,环东金茂悦,环东海域,0人关注 / 4个月以前发布,175,"21,238元/平",images\house_3_15.jpg
万象城旁2014年花园小区电梯小两房诚售,https://xm.lianjia.com/ershoufang/105116465079.html,2室1厅,52.8平米,东 南,精装,罗宾森购物广场二期,火车站,1人关注 / 2个月以前发布,255,"48,296元/平",images\house_3_16.jpg
绿苑新城一组团朝南看中庭2房259万带车位,https://xm.lianjia.com/ershoufang/105117012952.html,2室1厅,82.38平米,南 北,精装,绿苑新城一组团,滨海社区,16人关注 / 13天以前发布,259,"31,440元/平",images\house_3_17.jpg
蓉芳里三房一厅客厅带阳台南北通透刚精装修两年,https://xm.lianjia.com/ershoufang/105116145376.html,3室1厅,80.11平米,南 北,精装,蓉芳里,莲花一村,1人关注 / 3个月以前发布,398,"49,682元/平",images\house_3_18.jpg
此房高层，动静分离户型，南北通透，交通便利，,https://xm.lianjia.com/ershoufang/105117000285.html,3室2厅,143.7平米,南 北,精装,华天花园,莲坂,0人关注 / 15天以前发布,750,"52,193元/平",images\house_3_19.jpg
融侨品质精装2居 南朝向 全明格局 软三、万达、公园旁,https://xm.lianjia.com/ershoufang/105116884935.html,2室1厅,52.16平米,南,精装,融侨观澜,灌口,1人关注 / 26天以前发布,113,"21,665元/平",images\house_3_20.jpg
产权满五，业主诚意出售，随时可以看房,https://xm.lianjia.com/ershoufang/105116522861.html,3室2厅,104.87平米,南 北,简装,禹洲大学城,集美其它,1人关注 / 2个月以前发布,148,"14,113元/平",images\house_3_21.jpg
户型方正，全明格局，南北通透，新装修精装,https://xm.lianjia.com/ershoufang/105116369679.html,2室2厅,91.77平米,南 北,精装,天湖城,海沧区政府,3人关注 / 2个月以前发布,259,"28,223元/平",images\house_3_22.jpg
五缘湾精装4房 使用120平 2个阳台可凉晒,https://xm.lianjia.com/ershoufang/105115583642.html,4室2厅,87.17平米,南 北,精装,源昌鑫海湾,五缘湾,4人关注 / 5个月以前发布,539,"61,834元/平",images\house_3_23.jpg
框架好楼层，正规3房2卫，户型方正，可拎包入住。,https://xm.lianjia.com/ershoufang/105116446075.html,3室2厅,94.42平米,南 北,精装,金北花园,金尚,3人关注 / 2个月以前发布,339,"35,904元/平",images\house_3_24.jpg
翔安隧道口，产权满2年，精装2房出售，拎包入住,https://xm.lianjia.com/ershoufang/105111691572.html,2室2厅,90.88平米,南,精装,明发半岛祥湾A区,翔安新城,5人关注 / 一年前发布,169.8,"18,684元/平",images\house_3_25.jpg
海沧万科城位于翁角路与新阳大桥交汇处，总共四期，,https://xm.lianjia.com/ershoufang/105116530784.html,3室2厅,89.34平米,东南,精装,万科城一期,马銮湾东,3人关注 / 1个月以前发布,192,"21,491元/平",images\house_3_26.jpg
东坑安居房 3室1厅 南 北,https://xm.lianjia.com/ershoufang/105116928166.html,3室1厅,129.9平米,南 北,毛坯,东坑安居房,滨海社区,1人关注 / 22天以前发布,320,"24,635元/平",images\house_3_27.jpg
同城四季南座 朝南 采光通风好 精装修3房 乐海旁,https://xm.lianjia.com/ershoufang/105115528885.html,3室2厅,77.58平米,南,精装,同城四季南座,同安其它,1人关注 / 5个月以前发布,128,"16,500元/平",images\house_3_28.jpg
地铁口、双十旁、国贸天成二期，3房2厅2卫,https://xm.lianjia.com/ershoufang/105115359635.html,3室2厅,94.5平米,南,精装,国贸天成二期,翔安新城,0人关注 / 6个月以前发布,268,"28,360元/平",images\house_3_29.jpg
集美新城 学府林立 交通便利 诚意出售,https://xm.lianjia.com/ershoufang/105115187602.html,1室0厅,25.14平米,东南,精装,万科云城,集美新城,12人关注 / 6个月以前发布,36,"14,320元/平",images\house_4_0.jpg
地铁口 精装3房拎包入住 免个税 海投过云溪 近教育,https://xm.lianjia.com/ershoufang/105116679201.html,3室2厅,89.48平米,南,精装,过云溪二组团,东孚,1人关注 / 1个月以前发布,158,"17,658元/平",images\house_4_1.jpg
二次精装、拎包入住、产权清晰满二、看海效果好、诚意,https://xm.lianjia.com/ershoufang/105116435988.html,2室2厅,68.2平米,东南,精装,保利叁仟栋二期,环东海域,1人关注 / 2个月以前发布,172,"25,220元/平",images\house_4_2.jpg
05年高层电梯东南 金榜 不沿街 临山安静 满二 不沿街,https://xm.lianjia.com/ershoufang/105117077010.html,2室2厅,87.75平米,东南 南,简装,自然家园,火车站,1人关注 / 7天以前发布,436,"49,687元/平",images\house_4_3.jpg
南北朝向 温馨两房  业主诚意出售。,https://xm.lianjia.com/ershoufang/105113154864.html,2室1厅,71.09平米,南,精装,金尚小区,金尚,16人关注 / 一年前发布,249,"35,027元/平",images\house_4_4.jpg
环东海域，悦云湾边套3房，业主诚意出售,https://xm.lianjia.com/ershoufang/105116100446.html,3室2厅,89.8平米,南,精装,环东金茂悦,环东海域,0人关注 / 3个月以前发布,199,"22,161元/平",images\house_4_5.jpg
莲花中楼层自住装修保养不错南北通透,https://xm.lianjia.com/ershoufang/105116750098.html,2室2厅,70.2平米,南 北,精装,和光里,莲花一村,2人关注 / 1个月以前发布,310,"44,160元/平",images\house_4_6.jpg
地铁口东孚站中高楼层，阳台朝南户型，业主诚心出售,https://xm.lianjia.com/ershoufang/105111559365.html,2室1厅,90.75平米,南,精装,海投过云溪一组团,东孚,4人关注 / 一年前发布,139,"15,317元/平",images\house_4_7.jpg
东边套，全新30万精装修，大三房，地铁约500米，,https://xm.lianjia.com/ershoufang/105114856130.html,3室1厅,133.28平米,南 北,精装,亚桥花园,海沧生活区,3人关注 / 8个月以前发布,219,"16,432元/平",images\house_4_8.jpg
小区绿化好，环境优美，物业管理也很规范,https://xm.lianjia.com/ershoufang/105112863913.html,3室2厅,130.69平米,南 北,精装,联发杏林湾一号一期,杏林桥头,2人关注 / 一年前发布,330,"25,251元/平",images\house_4_9.jpg
前埔北区二里 3室1厅 南 北,https://xm.lianjia.com/ershoufang/105116843490.html,3室1厅,104.06平米,南 北,简装,前埔北区二里,前埔,2人关注 / 30天以前发布,388,"37,287元/平",images\house_4_10.jpg
金鸡亭两房朝南 格局方正 满五免个税,https://xm.lianjia.com/ershoufang/105117022814.html,2室2厅,74.02平米,南 北,精装,金鸡亭花园小区东区,金鸡亭,0人关注 / 12天以前发布,248,"33,505元/平",images\house_4_11.jpg
吕厝双地铁口~120平大三房格局方正，采光好！,https://xm.lianjia.com/ershoufang/105116409175.html,3室2厅,120.7平米,南,简装,新景园,江头,3人关注 / 2个月以前发布,418,"34,632元/平",images\house_4_12.jpg
未来橙堡 2室2厅 南,https://xm.lianjia.com/ershoufang/105116636108.html,2室2厅,83.95平米,南,简装,未来橙堡,海沧体育中心,2人关注 / 1个月以前发布,152.8,"18,202元/平",images\house_4_13.jpg
新装修拎包入住，明发半岛高层 南北向视野看海,https://xm.lianjia.com/ershoufang/105112669772.html,3室2厅,88.71平米,南,精装,明发半岛祥湾A区,翔安新城,6人关注 / 一年前发布,165,"18,600元/平",images\house_4_14.jpg
滨北万象里旁 岳阳西里 南北精装2房 业主诚意出售,https://xm.lianjia.com/ershoufang/105116784059.html,2室1厅,62.36平米,南 北,精装,岳阳西里,岳阳社区,4人关注 / 1个月以前发布,249,"39,930元/平",images\house_4_15.jpg
地铁口精装两房，低总价业主诚售,https://xm.lianjia.com/ershoufang/105116662242.html,2室2厅,80.28平米,南,精装,新城际广场二期,厦门北站商业区,4人关注 / 1个月以前发布,142,"17,689元/平",images\house_4_16.jpg
云顶花园 精装三房 封闭小区 天然氧吧,https://xm.lianjia.com/ershoufang/105113816361.html,2室1厅,59.2平米,东北,精装,云顶花园,金鸡亭,0人关注 / 一年前发布,235,"39,696元/平",images\house_4_17.jpg
卢卡小镇三房简装修，视野开阔，小区绿化优美,https://xm.lianjia.com/ershoufang/105112952451.html,3室1厅,93.72平米,南,简装,禹洲卢卡小镇,新店,3人关注 / 一年前发布,150,"16,006元/平",images\house_4_18.jpg
梧桐实验旁高层不靠路 南北通透全明结构3房 诚售,https://xm.lianjia.com/ershoufang/105116237320.html,3室2厅,111.67平米,南 北,简装,大洋雅苑,枋湖,1人关注 / 2个月以前发布,508,"45,492元/平",images\house_4_19.jpg
思明 文灶钟心 小面积 低总价 电梯 BRT地铁交通网,https://xm.lianjia.com/ershoufang/105115266961.html,1室1厅,35.68平米,东,精装,银龙广场二期,火车站,4人关注 / 6个月以前发布,87.5,"24,524元/平",images\house_4_20.jpg
店长推荐乐海商圈 通透格局 立体式交通 人文环境好,https://xm.lianjia.com/ershoufang/105113874440.html,3室2厅,100.94平米,南 北,精装,建发中央天悦,同安其它,4人关注 / 11个月以前发布,180,"17,833元/平",images\house_4_21.jpg
双阳台，低楼层，满五，精装修，,https://xm.lianjia.com/ershoufang/105116073311.html,2室2厅,78.66平米,东 西,简装,长欣花园,海沧生活区,1人关注 / 3个月以前发布,188,"23,901元/平",images\house_4_22.jpg
祥店09年小区 快乐天地高层 客 厅 带阳台朝南,https://xm.lianjia.com/ershoufang/105116968849.html,2室1厅,96.22平米,南,简装,第二城快乐天地,祥店,3人关注 / 18天以前发布,349,"36,272元/平",images\house_4_23.jpg
阳光城文澜府 3室2厅 东南,https://xm.lianjia.com/ershoufang/105116537292.html,3室2厅,88.92平米,东南,精装,阳光城文澜府,灌口,4人关注 / 1个月以前发布,185,"20,806元/平",images\house_4_24.jpg
封闭式小区 双地铁口 精装4房 全湖景 业主急售,https://xm.lianjia.com/ershoufang/105116606847.html,4室1厅,138.3平米,东 西北 北,精装,英皇湖畔花苑,松柏,1人关注 / 1个月以前发布,798,"57,701元/平",images\house_4_25.jpg
莲花新小区，南北通透，客厅带阳台，中间楼层,https://xm.lianjia.com/ershoufang/105115747717.html,3室2厅,92.24平米,南 北,简装,龙盛花园,莲花,0人关注 / 4个月以前发布,398,"43,149元/平",images\house_4_26.jpg
